+-------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+--------+-----------------------------------------------------+
| COUNT |  MIN  |  MAX  |   SUM    |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  | METHOD |                         URI                         |
+-------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+--------+-----------------------------------------------------+
|   172 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 | 150996.000 | 150996.000 |  25971312.000 | 150996.000 | GET    | /css/bootstrap.min.css                              |
|     1 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |      0.000 |      0.000 |         0.000 |      0.000 | GET    | /profile/masuda_haruki                              |
|   172 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  46653.000 |  46653.000 |   8024316.000 |  46653.000 | GET    | /js/bootstrap.min.js                                |
|   172 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  23424.000 |  23424.000 |   4028928.000 |  23424.000 | GET    | /fonts/glyphicons-halflings-regular.woff            |
|     1 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |      0.000 |      0.000 |         0.000 |      0.000 | GET    | /profile/ogura_nagatoshi                            |
|   172 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   4162.000 |   4162.000 |    715864.000 |   4162.000 | GET    | /js/chat.js                                         |
|   172 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  18028.000 |  18028.000 |   3100816.000 |  18028.000 | GET    | /fonts/glyphicons-halflings-regular.woff2           |
|   172 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  86659.000 |  86659.000 |  14905348.000 |  86659.000 | GET    | /js/jquery.min.js                                   |
|   172 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  45404.000 |  45404.000 |   7809488.000 |  45404.000 | GET    | /fonts/glyphicons-halflings-regular.ttf             |
|   172 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |    318.000 |    318.000 |     54696.000 |    318.000 | GET    | /favicon.ico                                        |
|   172 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 | 108738.000 | 108738.000 |  18702936.000 | 108738.000 | GET    | /fonts/glyphicons-halflings-regular.svg             |
|   172 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  20127.000 |  20127.000 |   3461844.000 |  20127.000 | GET    | /fonts/glyphicons-halflings-regular.eot             |
|   172 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  24632.000 |  24632.000 |   4236704.000 |  24632.000 | GET    | /js/tether.min.js                                   |
|     1 | 0.001 | 0.001 |    0.001 | 0.001 | 0.001 | 0.001 | 0.001 |  0.000 |      0.000 |      0.000 |         0.000 |      0.000 | GET    | /profile/iketani_aiko                               |
|     1 | 0.001 | 0.001 |    0.001 | 0.001 | 0.001 | 0.001 | 0.001 |  0.000 |     23.000 |     23.000 |        23.000 |     23.000 | GET    | /profile/FMoWdiTskZoQJMqrTICTojIYxyeSxZyf           |
|   172 | 0.000 | 0.001 |    0.001 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   1741.000 |   1741.000 |    299452.000 |   1741.000 | GET    | /css/main.css                                       |
|     1 | 0.002 | 0.002 |    0.002 | 0.002 | 0.002 | 0.002 | 0.002 |  0.000 |      0.000 |      0.000 |         0.000 |      0.000 | GET    | /profile/fukaya_youko                               |
|     5 | 0.003 | 0.003 |    0.005 | 0.001 | 0.000 | 0.000 | 0.001 |  0.001 |    883.000 |    883.000 |      4415.000 |    883.000 | GET    | /                                                   |
|     5 | 0.000 | 0.003 |    0.007 | 0.001 | 0.000 | 0.001 | 0.002 |  0.001 |    900.000 |    900.000 |      4500.000 |    900.000 | GET    | /register                                           |
|     5 | 0.001 | 0.003 |    0.008 | 0.002 | 0.001 | 0.001 | 0.002 |  0.001 |    900.000 |    900.000 |      4500.000 |    900.000 | GET    | /login                                              |
|    95 | 0.003 | 0.004 |    0.205 | 0.002 | 0.000 | 0.002 | 0.003 |  0.001 |      0.000 |     25.000 |        50.000 |      0.526 | POST   | /add_channel                                        |
|     1 | 0.005 | 0.005 |    0.005 | 0.005 | 0.005 | 0.005 | 0.005 |  0.000 |      0.000 |      0.000 |         0.000 |      0.000 | GET    | /profile/furusawa_ryou                              |
|     6 | 0.000 | 0.007 |    0.009 | 0.002 | 0.000 | 0.000 | 0.001 |  0.003 |      0.000 |   1224.000 |      1224.000 |    204.000 | GET    | /add_channel                                        |
|   137 | 0.001 | 0.010 |    0.154 | 0.001 | 0.000 | 0.001 | 0.006 |  0.001 |      0.000 |      0.000 |         0.000 |      0.000 | GET    | /logout                                             |
|     1 | 0.010 | 0.010 |    0.010 | 0.010 | 0.010 | 0.010 | 0.010 |  0.000 |   1113.000 |   1113.000 |      1113.000 |   1113.000 | GET    | /channel/3643                                       |
|     1 | 0.010 | 0.010 |    0.010 | 0.010 | 0.010 | 0.010 | 0.010 |  0.000 |   1109.000 |   1109.000 |      1109.000 |   1109.000 | GET    | /channel/3637                                       |
|     1 | 0.013 | 0.013 |    0.013 | 0.013 | 0.013 | 0.013 | 0.013 |  0.000 |   1329.000 |   1329.000 |      1329.000 |   1329.000 | GET    | /profile/koike_yonezou                              |
|     1 | 0.014 | 0.014 |    0.014 | 0.014 | 0.014 | 0.014 | 0.014 |  0.000 |   1323.000 |   1323.000 |      1323.000 |   1323.000 | GET    | /profile/yanagi_harumi                              |
|     1 | 0.017 | 0.017 |    0.017 | 0.017 | 0.017 | 0.017 | 0.017 |  0.000 |   1114.000 |   1114.000 |      1114.000 |   1114.000 | GET    | /channel/3682                                       |
|     1 | 0.017 | 0.017 |    0.017 | 0.017 | 0.017 | 0.017 | 0.017 |  0.000 |   1107.000 |   1107.000 |      1107.000 |   1107.000 | GET    | /channel/3694                                       |
|     1 | 0.018 | 0.018 |    0.018 | 0.018 | 0.018 | 0.018 | 0.018 |  0.000 |   1328.000 |   1328.000 |      1328.000 |   1328.000 | GET    | /profile/kameda_ayaka                               |
|     1 | 0.020 | 0.020 |    0.020 | 0.020 | 0.020 | 0.020 | 0.020 |  0.000 |   1321.000 |   1321.000 |      1321.000 |   1321.000 | GET    | /profile/toda_souta                                 |
|     1 | 0.024 | 0.024 |    0.024 | 0.024 | 0.024 | 0.024 | 0.024 |  0.000 |   1326.000 |   1326.000 |      1326.000 |   1326.000 | GET    | /profile/miyake_nana                                |
|     2 | 0.015 | 0.024 |    0.039 | 0.019 | 0.015 | 0.015 | 0.015 |  0.005 |   1110.000 |   1111.000 |      2221.000 |   1110.500 | GET    | /channel/3652                                       |
|     1 | 0.025 | 0.025 |    0.025 | 0.025 | 0.025 | 0.025 | 0.025 |  0.000 |   1329.000 |   1329.000 |      1329.000 |   1329.000 | GET    | /profile/ishiwatari_noriko                          |
|     1 | 0.025 | 0.025 |    0.025 | 0.025 | 0.025 | 0.025 | 0.025 |  0.000 |   1332.000 |   1332.000 |      1332.000 |   1332.000 | GET    | /profile/kuramochi_ruria                            |
|     1 | 0.027 | 0.027 |    0.027 | 0.027 | 0.027 | 0.027 | 0.027 |  0.000 |   1326.000 |   1326.000 |      1326.000 |   1326.000 | GET    | /profile/iwasa_shidou                               |
|     2 | 0.026 | 0.027 |    0.053 | 0.026 | 0.026 | 0.026 | 0.026 |  0.001 |   1110.000 |   1117.000 |      2227.000 |   1113.500 | GET    | /channel/3696                                       |
|     1 | 0.027 | 0.027 |    0.027 | 0.027 | 0.027 | 0.027 | 0.027 |  0.000 |   1320.000 |   1320.000 |      1320.000 |   1320.000 | GET    | /profile/muraki_aya                                 |
|     1 | 0.030 | 0.030 |    0.030 | 0.030 | 0.030 | 0.030 | 0.030 |  0.000 |   1111.000 |   1111.000 |      1111.000 |   1111.000 | GET    | /channel/3650                                       |
|     1 | 0.030 | 0.030 |    0.030 | 0.030 | 0.030 | 0.030 | 0.030 |  0.000 |   1326.000 |   1326.000 |      1326.000 |   1326.000 | GET    | /profile/yamaoka_misaki                             |
|     1 | 0.030 | 0.030 |    0.030 | 0.030 | 0.030 | 0.030 | 0.030 |  0.000 |   1323.000 |   1323.000 |      1323.000 |   1323.000 | GET    | /profile/aizawa_atsushi                             |
|     1 | 0.031 | 0.031 |    0.031 | 0.031 | 0.031 | 0.031 | 0.031 |  0.000 |   1327.000 |   1327.000 |      1327.000 |   1327.000 | GET    | /profile/kadotani_shingo                            |
|     1 | 0.031 | 0.031 |    0.031 | 0.031 | 0.031 | 0.031 | 0.031 |  0.000 |   1332.000 |   1332.000 |      1332.000 |   1332.000 | GET    | /profile/matsuzawa_mitsunori                        |
